类别,id,名称,Owner,类型,描述,git_url,git_branch
HPC APP,1,HPL,孙跃,HPC基准测试,求解随机稠密线性方程组，主要反映双精度浮点计算/线性代数性能。,hpc_hpl,maca
HPC APP,2,HPCG,余多,HPC基准测试,基于稀疏线性系统/共轭梯度流程，反映内存带宽、通信和稀疏计算性能。,hpc_hpcg,maca
HPC APP,3,SHOC,石侠军,HPC基准测试,异构计算性能基准,hpc_shoc,maca
HPC APP,4,OpenFOAM,赵肖越,CFD/流体模拟,开源CFD软件,hpc_openfoam,maca
HPC APP,6,OpenLB,刘玉春,CFD/流体模拟,格子玻尔兹曼CFD软件,hpc_openlb,maca-1.7r0
HPC APP,7,PHengLEI,余多,CFD/流体模拟,国产CFD软件,hpc_phenglei,maca
HPC APP,8,PyFR,余多,CFD/流体模拟,高阶流体/可压缩流求解框架，Python 前端，基于 Flux Reconstruction 方法。,hpc_pyfr,maca-v2.1
HPC APP,9,OpenCFD,余多,CFD/流体模拟,国产CFD软件,hpc_opencfd-scu,maca
HPC APP,10,HTR-solver,余多,CFD/流体模拟,高超声速空气热力学求解器,hpc_HTR-solver,maca
HPC APP,11,deal.II,赵肖越,数值计算库/求解器,通用有限元软件库,hpc_dealii,maca
HPC APP,12,AMReX,余多,HPC框架/工具,块结构自适应（adaptive mesh refinement）网格框架,hpc_amrex,maca
HPC APP,13,Kokkos,石侠军,HPC框架/工具,C++性能可移植框架,hpc_kokkos,maca
HPC APP,14,RAJA,石侠军,HPC框架/工具,C++性能可移植框架,hpc_raja,maca
HPC APP,14,RAJAPerf,石侠军,HPC框架/工具,C++性能可移植框架,hpc_rajaperf,maca
HPC APP,15,Hypre,杨柳,数值计算库/求解器,高性能预条件器和求解器库，用于大规模稀疏线性系统,hpc_hypre,maca
HPC APP,16,PETSc,石侠军,数值计算库/求解器,求解偏微分方程和非线性问题的工具包,hpc_petsc,maca
HPC APP,17,Ginkgo,赵肖越,数值计算库/求解器,稀疏线性方程求解器,hpc_ginkgo,maca
HPC APP,18,Julia,肖湘桂,HPC框架/工具,高性能动态科学计算语言，常用于数值计算、数据科学和可微编程。,hpc_julia_hpcc,maca
HPC APP,19,cudarc,李会江,HPC框架/工具,Rust 的 CUDA 安全封装/绑定，覆盖驱动、运行时及部分 CUDA 库接口。,hpc_cudarc,maca
HPC APP,20,ABACUS,闫申申,材料科学计算,原子基组DFT软件,hpc_abacus,maca
HPC APP,21,ABACUS,王天祥,材料科学计算,原子基组DFT软件,hpc_abacus,maca-3.9.0.27
HPC APP,22,CP2K,王天祥,材料科学计算,混合高斯平面波DFT软件,hpc_cp2k,maca-v2025.2
HPC APP,23,VASP,王天祥,材料科学计算,平面波第一性原理计算软件,hpc_vasp,maca
HPC APP,24,VASP - OpenACC,王天祥,材料科学计算,平面波第一性原理计算软件,hpc_vasp-openacc,maca
HPC APP,25,PWDFT,王天祥,材料科学计算,第一性原理计算软件,hpc_pwdft,maca
HPC APP,26,PyPWDFT,王天祥,材料科学计算,第一性原理计算软件,hpc_pypwdft,maca
HPC APP,27,Qiskit Aer,王天祥,量子/高能物理计算,量子计算GPU 模拟后端,hpc_qiskit-aer,maca
HPC APP,28,Amber,姜海洋,分子模拟,生物分子模拟APP,hpc_amber,maca
HPC APP,29,DeePMD,闫申申,分子模拟,深度学习势能模型套件,hpc_deepmd-kit,maca-3.0.0
HPC APP,30,DeePMD,闫申申,分子模拟,深度学习势能模型套件,hpc_deepmd-kit,maca-3.1.1
HPC APP,31,GROMACS,陈亦奇,分子模拟,GPU加速分子动力学APP,hpc_gromacs,gmx2023-maca
HPC APP,32,GROMACS,陈亦奇,分子模拟,GPU加速分子动力学APP,hpc_gromacs,gmx2026-maca
HPC APP,33,MetaxFEP,陈亦奇,分子模拟,结合自由能计算引擎,hpc_metaxfep,maca
HPC APP,34,LAMMPS,石侠军,分子模拟,GPU加速分子动力学APP,hpc_lammps,maca
HPC APP,35,LAMMPS,石侠军,分子模拟,GPU加速分子动力学APP,hpc_lammps,maca_stable_22Jul2025
HPC APP,36,NAMD,姜海洋,分子模拟,GPU加速分子动力学APP,hpc_namd,maca
HPC APP,37,OpenMM,易向荣,分子模拟,GPU加速分子动力学APP,hpc_openmm,maca
HPC APP,38,AutoDock,孙跃,分子模拟,分子配体对接工具,hpc_autodock,maca
HPC APP,39,Uni-Dock,孙跃,分子模拟,GPU加速分子对接,hpc_unidock,maca
HPC APP,40,BlastP,龚佳震,生命科学计算,蛋白序列比对工具,hpc_blast,maca
HPC APP,41,RELION,王育洋,生命科学计算,冷冻电镜图像处理与三维重建工具,hpc_relion,maca
HPC APP,42,BART,王育洋,医学影像,MRI图像重建工具,hpc_BART,maca
HPC APP,43,STIR,王育洋,医学影像,PET/SPECT图像重建工具,hpc_STIR,maca
HPC APP,44,Grid,石侠军,量子/高能物理计算,基于CUDA的量子色动力学QCD APP,hpc_qcd,maca
HPC APP,45,QUDA,石侠军,量子/高能物理计算,基于CUDA的量子色动力学QCD APP,hpc_quda,maca
HPC APP,46,RHMC,石侠军,量子/高能物理计算,基于CUDA的量子色动力学QCD APP,hpc_rhmc,maca
HPC APP,47,REMORA,李震坤,地球系统模拟,基于 AMReX 的自适应区域海洋模型,hpc_remora,maca
HPC APP,48,ROMS,李震坤,地球系统模拟,区域海洋模拟系统,hpc_roms,maca
HPC APP,49,WRF,李震坤,地球系统模拟,数值天气预报系统,hpc_wrf_openacc,maca
HPC APP,50,RTM3D,彭轩,地球系统模拟,三维逆时偏移成像,hpc_rtm,maca
HPC APP,51,SPECFEM3D,彭轩,地球系统模拟,高精度地震波传播模拟,hpc_specfem3d,maca
HPC APP,53,sppark,李会江,密码学/安全计算,GPU 加速零知识证明生成过程的密码学库。,hpc_sppark,maca
HPC APP,54,cuDilithium,李会江,密码学/安全计算,后量子密码的签名算法Dilithium的高通量GPU实现,hpc_cuDilithium,maca
HPC APP,55,atpqc-cuda,李会江,密码学/安全计算,后量子密码的密钥封装CRYSTALS-Kyber算法,hpc_atpqc-cuda,maca
HPC APP,56,TFHE-rs,李会江,密码学/安全计算,Rust同态加密库,hpc_tfhe-rs,maca
HPC APP,57,hashcat,李会江,密码学/安全计算,多平台密码破解工具,hpc_hashcat,maca
HPC APP,58,WarpX,刘玉春,物理仿真,激光等离子体相互作用模拟代码（基于AMReX）,hpc_warpx,maca
HPC APP,60,SFFT,彭轩,信号处理,用于傅里叶空间中图像减法的扫视快速傅里叶变换算法,hpc_sfft,maca
HPC APP,61,VkFFT,易向荣,信号处理,跨平台GPU加速FFT库,hpc_VkFFT,maca
HPC APP,62,MakoEM,,物理仿真,内部电磁仿真软件。,hpc_CEM,maca
工具,64,HPC SDK基础镜像,姜海洋,工具,对标NVIDIA HPC SDK，包含了常用的HPC工作中所需的工具、函数库等,hpc_sdk,maca
AI for Science模型,66,PhysicsNeMo,彭轩,AI for Science框架,NVIDIA 开源 Physics-ML / AI4Science 深度学习框架，用于构建、训练、微调和推理物理 AI 模型。,hpc_physicsnemo,maca
AI for Science模型,67,PaddleScience,刘玉春,AI for Science框架,基于 PaddlePaddle 的科学计算/AI4Science 套件，支持 PINN、神经算子等科学机器学习任务。,hpc_paddlescience,maca
AI for Science模型,68,DeepXDE,赵肖越,AI for Science框架,科学机器学习与物理信息神经网络（PINN）库，用于求解微分方程和物理约束问题。,hpc_deepXDE,maca
AI for Science模型,69,FTorch,李震坤,AI for Science框架,将 PyTorch 模型耦合到 Fortran 应用的库/API 封装。,hpc_FTorch,maca
AI for Science模型,70,Warp,李会江,AI for Science框架,NVIDIA 开源 Python 框架，用于 GPU 加速仿真、物理计算、机器人/图形和机器学习工作流。,hpc_warp,maca
AI for Science模型,71,KTransformers,李正,AI框架/工具,面向 Transformer/MoE 模型的灵活推理框架，支持 CPU-GPU 混合推理、内核优化和模型放置策略。,hpc_ktranstormers,maca-v0.3
AI for Science模型,72,DGL,孙跃,AI框架/工具,Deep Graph Library，面向图神经网络的图数据结构、图操作和训练框架。,hpc_dgl,maca-2.4.0
AI for Science模型,73,PyG,龚佳震,AI框架/工具,PyTorch Geometric，基于 PyTorch 的图神经网络库，用于结构化/图数据建模。,hpc_pyg_lib,maca-0.4.0
AI for Science模型,74,MONAI,王育洋,医学影像模型,医学影像 AI 开源框架；当前条目还包含 nnDetection、nnUNet、TotalSegmentator 等相关医学影像模型/工具。,hpc_monai,maca-1.4.0
AI for Science模型,75,Seg_utils,龚佳震,医学影像模型,piwheels 的 seg-utils Python 工具包。,hpc_seg_utils,maca
AI for Science模型,76,ALIGNN,闫申申,材料科学模型,ALIGNN（Atomistic Line Graph Neural Network）用于材料性质预测、力场/原子系统建模等任务。,hpc_alignn,maca
AI for Science模型,77,AVIARY,闫申申,材料科学模型,CompRhys/aviary 是材料属性预测模型库，包含 Roost、Wren 等面向材料组成/结构表征的模型。,hpc_aviary,maca
AI for Science模型,78,MATGL,闫申申,材料科学模型,MatGL（Materials Graph Library）是面向材料科学和化学的图深度学习库。,hpc_matgl,maca
AI for Science模型,79,EquiformerV2,闫申申,材料科学模型,EquiformerV2 是等变 Transformer 架构/模型，用于原子系统建模和材料性质预测。,hpc_equiformerv2,maca
AI for Science模型,80,DARWIN,闫申申,材料科学模型,DARWIN 1.5 是面向材料科学适配的大语言模型。,hpc_darwin,maca
AI for Science模型,81,MACE,闫申申,材料科学模型,MACE 是机器学习原子间势/力场模型，基于高阶等变消息传递。,hpc_mace,maca
AI for Science模型,82,MatterSim,闫申申,材料科学模型,MatterSim 是面向材料原子级模拟和性质预测的深度学习模型/基础模型。,hpc_mattersim,maca
AI for Science模型,83,MatRIS,闫申申,材料科学模型,MatRIS 是面向可靠、高效预训练机器学习原子间势的材料科学模型。,hpc_matris,maca
AI for Science模型,84,MatterGen,闫申申,材料科学模型,MatterGen 是面向材料结构生成/材料发现的生成式模型。,hpc_mattergen,maca
AI for Science模型,85,ESM3,龚佳震,蛋白质/生物分子模型,ESM3 是蛋白质语言/生成模型，可联合建模蛋白质序列、结构和功能。,hpc_esm3,maca-3.3.2post0
AI for Science模型,86,OpenFold,龚佳震,蛋白质/生物分子模型,OpenFold 是 AlphaFold2 的开源可训练 PyTorch 复现/蛋白质结构预测工具套件。,hpc_openfold,maca
AI for Science模型,87,SaProt,龚佳震,蛋白质/生物分子模型,SaProt 是融合蛋白质序列与结构信息的蛋白质语言模型，用于蛋白表征和下游预测。,hpc_SaProt,maca
AI for Science模型,88,Uni-Fold,龚佳震,蛋白质/生物分子模型,Uni-Fold 是蛋白质结构预测平台/模型，支持单体及复合物结构预测。,hpc_unifold,maca
AI for Science模型,89,AlphaFold 3,龚佳震,蛋白质/生物分子模型,AlphaFold 3 用于预测蛋白质、核酸、小分子等生物分子复合物结构与相互作用。,hpc_alphafold3,maca
AI for Science模型,90,BindCraft,龚佳震,蛋白质/生物分子模型,BindCraft 是蛋白结合体设计流程/工具，常结合扩散设计和结构预测模型。,hpc_bindcraft,maca
AI for Science模型,91,rc-foundry,龚佳震,蛋白质/生物分子模型,"Rosetta 统一的蛋白质模型调度入口，目前支持 RosettaFold, RFDiffusion, ProteinMPNN, LigandMPNN",hpc_rcfoundry,maca-0.1.9
